Date,Open,High,Low,Close,Adj Close,Volume
8/20/2021,350.079987,353.010986,345.359985,349.76001,349.76001,589500
8/23/2021,349.76001,360.279999,349.76001,357.579987,357.579987,674600
8/24/2021,361.119995,363.089996,352.48999,353.390015,353.390015,458200
8/25/2021,355.049988,358.200012,352.5,354.390015,354.390015,461700
8/26/2021,352.25,357.100006,349.279999,351.73999,351.73999,407300
8/27/2021,345.859985,348.959991,336.5,337.519989,337.519989,1638300
8/30/2021,339.089996,341.690002,332.700012,337.76001,337.76001,833500
8/31/2021,340,340,323.130005,328.059998,328.059998,1141100
9/1/2021,328.839996,333.279999,325.940002,330.480011,330.480011,858900
9/2/2021,332.76001,334.190002,319.660004,320.019989,320.019989,879700
9/3/2021,319,329.320007,316.359985,328.660004,328.660004,649200
9/7/2021,330.019989,333.453003,326.799988,330.179993,330.179993,583400
9/8/2021,330.480011,331.920013,325.089996,328.899994,328.899994,396000
9/9/2021,327.459991,334.910004,327.279999,328.809998,328.809998,483300
9/10/2021,331.859985,333.399994,324.410004,329.720001,329.720001,570700
9/13/2021,330.26001,331.950012,316.790009,326.059998,326.059998,649000
9/14/2021,327.579987,338.584991,326.73999,329.070007,329.070007,698200
9/15/2021,332.570007,332.570007,325.450012,329.859985,329.859985,540300
9/16/2021,325.329987,345.980011,323.613007,342.23999,342.23999,1158000
9/17/2021,340.209991,343.179993,329.480011,330.100006,330.100006,2120600
9/20/2021,322.209991,327.119995,314.720001,326.5,326.5,1089200
9/21/2021,330.480011,332.76001,318,318.220001,318.220001,814900
9/22/2021,319.799988,325.220001,318.170013,321.059998,321.059998,985100
9/23/2021,323.380005,328.970001,316.279999,319.25,319.25,808000
9/24/2021,319.089996,324.380005,315.559998,321.98999,321.98999,595900
9/27/2021,320.390015,322.394989,316.100006,319.119995,319.119995,1225600
9/28/2021,315.76001,316.910004,301.959991,305.779999,305.779999,2642400
9/29/2021,309,309.980011,304.170013,305.809998,305.809998,568000
9/30/2021,297.859985,307.540009,294.98999,301.540009,301.540009,1160300
10/1/2021,305.140015,305.140015,292.950012,302.829987,302.829987,970500
10/4/2021,298.26001,299.980011,286.820007,294.070007,294.070007,1019900
10/5/2021,295.019989,295.309998,282.804993,286.779999,286.779999,1185100
10/6/2021,281.079987,290.690002,280,285.76001,285.76001,633700
10/7/2021,290.98999,293.109985,284.339996,285.309998,285.309998,874600
10/8/2021,286.130005,288.109985,282.190002,282.429993,282.429993,749400
10/11/2021,289.820007,290.179993,282.070007,282.73999,282.73999,663100
10/12/2021,286.049988,287.570007,281.040009,281.480011,281.480011,776700
10/13/2021,284.420013,284.920013,280.25,282.540009,282.540009,708200
10/14/2021,285.799988,289.410004,282.850006,284.079987,284.079987,483400
10/15/2021,286.920013,291.61499,285,287.059998,287.059998,616000
10/18/2021,286,291.619995,286,288.940002,288.940002,658500
10/19/2021,291.660004,295.709991,288.679993,290.850006,290.850006,666200
10/20/2021,291.299988,294.390015,287.75,289.029999,289.029999,537300
10/21/2021,290.959991,305.799011,290.059998,301.76001,301.76001,968200
10/22/2021,297.709991,299.040009,292.459991,297.589996,297.589996,752900
10/25/2021,298.070007,299.75,289.079987,292.230011,292.230011,643400
10/26/2021,295.089996,295.880005,288.329987,291.559998,291.559998,567000
10/27/2021,303.950012,305.98999,289.325012,291.529999,291.529999,1292100
10/28/2021,291.579987,299.73999,290.920013,297.959991,297.959991,1053200
10/29/2021,295.910004,308.01001,295.910004,303.179993,303.179993,833200
11/1/2021,302.820007,309.5,299.670013,301.920013,301.920013,879800
11/2/2021,301,304.23999,298.119995,300.299988,300.299988,914000
11/3/2021,300.309998,305.940002,298.839996,301.410004,301.410004,662300
11/4/2021,301.220001,302.140015,295.059998,300.589996,300.589996,1318400
11/5/2021,289.829987,307.109985,275.329987,297.890015,297.890015,2478400
11/8/2021,294.109985,298.779999,290.910004,292.730011,292.730011,1163400
11/9/2021,295.540009,300.630005,293.329987,295.850006,295.850006,936000
11/10/2021,293.059998,295.100006,284.654999,287.26001,287.26001,1406200
11/11/2021,286.339996,287.809998,279.290009,286.279999,286.279999,1342700
11/12/2021,290,294.869995,285.51001,294.429993,294.429993,1015000
11/15/2021,296.220001,302.459991,295.839996,298.179993,298.179993,772100
11/16/2021,298.51001,301.225006,295.920013,300.790009,300.790009,791300
11/17/2021,301.420013,304.325012,291.829987,292.23999,292.23999,732800
11/18/2021,292.600006,292.75,282.299988,288.619995,288.619995,725600
11/19/2021,289.350006,293.209991,285.429993,291.720001,291.720001,655000
11/22/2021,294.109985,294.109985,280.059998,284.690002,284.690002,1495200
11/23/2021,281.640015,285.5,276.079987,282.01001,282.01001,1429600
11/24/2021,279.179993,291,276.089996,290.200012,290.200012,1404700
11/26/2021,290.600006,295.970001,287.869995,291.109985,291.109985,816800
11/29/2021,293.149994,296.700012,290.149994,291.970001,291.970001,1084200
11/30/2021,293.01001,293.519989,277.540009,280.420013,280.420013,2296400
12/1/2021,282.01001,286.25,265.48999,266.540009,266.540009,2436300
12/2/2021,264.230011,270.369995,257.980011,265.649994,265.649994,2350300
12/3/2021,266,268.329987,245.389999,261.350006,261.350006,3509500
12/6/2021,261.940002,268.820007,255.169998,263.119995,263.119995,1639700
12/7/2021,267.5,269.450012,261.622986,263.98999,263.98999,1378400
12/8/2021,265,269.529999,260.880005,267.869995,267.869995,1155800
12/9/2021,266.76001,270.540009,265.089996,268.040009,268.040009,2828900
12/10/2021,269.540009,272.649994,263.5,270.820007,270.820007,1598400
